strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
hCoV-19/Switzerland/BE-IFIK-1132-4215/2021	EPI_ISL_2080936		Institute for Infectious Diseases, University of Bern, Switzerland	Institute for Infectious Diseases, University of Bern, Switzerland	Stefan Neuenschwander et al
hCoV-19/Croatia/4507/2021	EPI_ISL_2674059		Zavod za javno zdravstvo Međimurske Županije	Hrvatski zavod za javno zdravstvo	Irena Tabain et al
hCoV-19/Croatia/5898/2021	EPI_ISL_3046415		Zavod za javno zdravstvo Međimurske Županije	Hrvatski zavod za javno zdravstvo	Irena Tabain et al
hCoV-19/Croatia/5892/2021	EPI_ISL_3046410		Zavod za javno zdravstvo Međimurske Županije	Hrvatski zavod za javno zdravstvo	Irena Tabain et al
hCoV-19/Serbia/Belgrade-3301590905/2021	EPI_ISL_3163953		Institute of Virology, Vaccines and Sera "Torlak"	Institute of microbiology and Immunology, Faculty of Medicine, University of Belgrade	Knezevic et al
hCoV-19/Serbia/Belgrade-3280650405/2021	EPI_ISL_3163960		Institute of Virology, Vaccines and Sera "Torlak"	Institute of microbiology and Immunology, Faculty of Medicine, University of Belgrade	Knezevic et al
hCoV-19/Slovenia/08-104246-MB/2021	EPI_ISL_2001797		National Laboratory for Health, Environment and Food, OMM, Maribor	NLZOH (National Laboratory for Health, Environment and Food) / CISLD (Clinical Institute of Special Laboratory Diagnostics), University Children's Hospital, University Medical Center Ljubljana	Sandra Janezic et al
hCoV-19/Croatia/4486/2021	EPI_ISL_2674040		Zavod za javno zdravstvo Međimurske Županije	Hrvatski zavod za javno zdravstvo	Irena Tabain et al
hCoV-19/Serbia/Belgrade-3302920905/2021	EPI_ISL_3163951		Institute of Virology, Vaccines and Sera "Torlak"	Institute of microbiology and Immunology, Faculty of Medicine, University of Belgrade	Knezevic et al
hCoV-19/Slovenia/269673/2021	EPI_ISL_2644500		Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Alen Suljič et al
hCoV-19/Serbia/Cacak-3444740207/2021	EPI_ISL_3163962		Institute of Virology, Vaccines and Sera "Torlak"	Institute of microbiology and Immunology, Faculty of Medicine, University of Belgrade	Knezevic et al
hCoV-19/Serbia/Cacak-3401431106/2021	EPI_ISL_3163964		Institute of Virology, Vaccines and Sera "Torlak"	Institute of microbiology and Immunology, Faculty of Medicine, University of Belgrade	Knezevic et al
hCoV-19/USA/ME-HETL-J3604/2021	EPI_ISL_2802723		Maine Health and Environmental Testing Laboratory	Tewhey Lab, The Jackson Laboratory	Matluk et al
hCoV-19/Netherlands/NB-MVD-CWGS2100284/2021	EPI_ISL_1279251		Microvida	Microvida	J. Stohr et al
hCoV-19/Belgium/rega-10583/2021	EPI_ISL_2877520		KU Leuven, Rega Institute, Clinical and Epidemiological Virology	KU Leuven, Rega Institute, Clinical and Epidemiological Virology	Tony Wawina-Bokalanga et al
hCoV-19/Romania/B-11736/2021	EPI_ISL_2086184		Department of Public Health Bucharest	National Institute of Infectious Diseases-Prof. Dr. Matei Bals Molecular Diagnostics Laboratory	Corina Casangiu et al
hCoV-19/Netherlands/UT-UMCU-2307249/2021	EPI_ISL_2658331		UMC Utrecht	UMC Utrecht	Rob Schuurman et al
hCoV-19/Netherlands/GE-RIVM-38254/2021	EPI_ISL_2609719		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Belgium/rega-9430/2021	EPI_ISL_2726238		KU Leuven, Rega Institute, Clinical and Epidemiological Virology	KU Leuven, Rega Institute, Clinical and Epidemiological Virology	Tony Wawina-Bokalanga et al
hCoV-19/Australia/QLD1675/2021	EPI_ISL_1241838		PHV-FSS	PHV-FSS	Son Nguyen et al
hCoV-19/Slovakia/MDX-10-45/2021	EPI_ISL_2774085		Multiplex DX	Multiplex DX	Diana Drobna et al
hCoV-19/Netherlands/UT-RIVM-29602/2021	EPI_ISL_1962819		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Bonaire/BQ-RIVM-35129/2021	EPI_ISL_2405585		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Curacao/CW-RIVM-44506/2021	EPI_ISL_3136578		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Bonaire/BQ-RIVM-15597/2021	EPI_ISL_1232272		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Curacao/CW-RIVM-16566/2021	EPI_ISL_1288149		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Curacao/CW-RIVM-18402/2021	EPI_ISL_1369752		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Curacao/CW-RIVM-25516/2021	EPI_ISL_1704989		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Bonaire/BQ-RIVM-35151/2021	EPI_ISL_2405608		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Bonaire/BQ-RIVM-40763/2021	EPI_ISL_2787995		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Bonaire/BQ-RIVM-42361/2021	EPI_ISL_2981897		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Bonaire/BQ-RIVM-41680/2021	EPI_ISL_2862880		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Bonaire/BQ-RIVM-41704/2021	EPI_ISL_2862789		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Bonaire/BQ-RIVM-42379/2021	EPI_ISL_2981899		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Bonaire/BQ-RIVM-42362/2021	EPI_ISL_2981898		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Bonaire/BQ-RIVM-42409/2021	EPI_ISL_2981903		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Congo/FCRM-49-A23-01-07/2021	EPI_ISL_3040136		Fondation Congolaise pour la recherche medicale (FCRM), Francine Ntoumi	Fondation Congolaise pour la Recherche Médicale	Mfoutou Mapanguy Claujens Chastel et al
hCoV-19/USA/KY-GD-SID-21051327199/2021	EPI_ISL_2613976	MZ415011.1	Gravity Diagnostics, LLC	Gravity Diagnostics, LLC	Gravity Diagnostics et al
hCoV-19/Bahrain/341709279/2021	EPI_ISL_1660463	MW947234.1	Communicable Disease Laboratory, Public Health Directorate	Communicable Disease Laboratory, Public Health Directorate	Alwasti et al
hCoV-19/Bahrain/341509896/2021	EPI_ISL_2715289	MZ425479.1	Communicable Disease Laboratory, Public Health Directorate	Communicable Disease Laboratory, Public Health Directorate	Alwasti et al
hCoV-19/SriLanka/CDR76/2021	EPI_ISL_1970389		Centre for Dengue Research and AICBU, Department of Immunology and Molecular Medicine	Centre for Dengue Research and AICBU, Department of Immunology and Molecular Medicine	Chandima Jeewandara et al
hCoV-19/SriLanka/aicbu12/2021	EPI_ISL_2877017		Allergy, Immunology and Cell Biology Unit (AICBU)	Allergy, Immunology and Cell Biology Unit (AICBU)	Chandima Jeewandara et al
hCoV-19/SriLanka/CDR158/2021	EPI_ISL_2803175		Centre for Dengue Research and AICBU, Department of Immunology and Molecular Medicine	Centre for Dengue Research and AICBU, Department of Immunology and Molecular Medicine	Chandima Jeewandara et al
hCoV-19/RepublicoftheCongo/RC-016/2021	EPI_ISL_2978201		Laboratoire National de Santé Publique, Brazzaville, République du Congo	Pathogen Genomics Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al
hCoV-19/SaudiArabia/DM-21-110332A/2021	EPI_ISL_3237048		King Faisal Specialist Hospital & Research Centre	King Faisal Specialist Hospital & Research Centre	Abeer N Alshukairi et al
hCoV-19/Libya/EMC-11/2021	EPI_ISL_2860646		Public Health Reference Laboratory	Erasmus Medical Center	Omar Elahmer-Abdulla Bashein- Rahma Algheriani-Ahlam Alarif et al
hCoV-19/Germany/BB-RKI-I-153523/2021	EPI_ISL_2264743		Klinikum Ernst von Bergmann gemeinnützige GmbH - stationärer Bereich	Robert Koch Institute	?
hCoV-19/Morocco/Ion_code_2/2021	EPI_ISL_3155073		ANOUAL	ANOUAL	Fatima zahra el ansari et al
hCoV-19/France/IDF-HMN-21052170681/2021	EPI_ISL_2229013		BIOMNIS EUROFINS IVRY	Department of Virology, Henri Mondor University Hospital, Assistance Publique Hôpitaux de Paris, Université Paris-Est Créteil, INSERM U955	Christophe Rodriguez et al
hCoV-19/Lebanon/QIB-225/2021	EPI_ISL_3343438		Laboratory of Molecular Biology and Cancer Immunology	Quadram Institute Bioscience	Georgi Merhi et al
hCoV-19/Iraq/Erbil3/2021	EPI_ISL_2153106	MZ221119.1	Biology, Gaziantep University	Biology, Gaziantep University	Ozaslan et al
hCoV-19/Lebanon/QIB-872/2021	EPI_ISL_3344036		Laboratory of Molecular Biology and Cancer Immunology	Quadram Institute Bioscience	Georgi Merhi et al
hCoV-19/Denmark/DCGC-106296/2021	EPI_ISL_3075546		Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	Statens Serum Institut Bioinformatics and Microbial Genomics	Danish Covid-19 Genome Consortium et al
hCoV-19/Norway/Ahus-734/2021	EPI_ISL_2772633		Dept. of Microbiology and Infection Control, Akershus University Hospital HF	Dept. of Microbiology and Infection Control, Akershus University Hospital HF	Hege Vangstein Aamot et al
hCoV-19/Norway/15314/2021	EPI_ISL_3133839		Dept. of Medical Microbiology, Stavanger University Hospital, Helse Stavanger HF	Norwegian Institute of Public Health, Department of Virology	Kathrine Stene-Johansen et al
hCoV-19/Australia/NSW4327/2021	EPI_ISL_1184504		Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Virology Research Laboratory; Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Foster et al
hCoV-19/Lebanon/QIB-858/2021	EPI_ISL_3344023		Laboratory of Molecular Biology and Cancer Immunology	Quadram Institute Bioscience	Georgi Merhi et al
hCoV-19/Sweden/20079261P/2021	EPI_ISL_2208261		Swedish national genomic surveillance program of SARS-CoV-2	The Public Health Agency of Sweden	Maximilian Riess et al
hCoV-19/Lebanon/QIB-895/2021	EPI_ISL_3344062		Laboratory of Molecular Biology and Cancer Immunology	Quadram Institute Bioscience	Georgi Merhi et al
hCoV-19/Finland/8199/2021	EPI_ISL_3014735		Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland	Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland	Teemu Smura et al
hCoV-19/USA/DE-CDC-ASC210019384/2021	EPI_ISL_1650622	MW968942.1	Aegis Sciences Corporation	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/USA/VA-CDC-QDX24840146/2021	EPI_ISL_2367678	MZ318715.1	Quest Diagnostics Incorporated	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/USA/PA-Jefferson_COVIDSeq11_S39/2021	EPI_ISL_3142881		Molecular & Genomic Pathology Laboratory, Thomas Jefferson University Hospital	Molecular & Genomic Pathology Laboratory, Thomas Jefferson University Hospital	Nitika Badjatia et al
hCoV-19/Jordan/AM-Biolab042/2021	EPI_ISL_2105674		Biolab Diagnostic Laboratories	Biolab Diagnostic Laboratories	Issa Abu-Dayyeh et al
hCoV-19/Australia/VIC18470/2021	EPI_ISL_2920931		Victorian Infectious Diseases Reference Laboratory (VIDRL)	VIDRL and MDU-PHL	Caly L. et al B
hCoV-19/Malta/MDxMDH483/2021	EPI_ISL_2716474		Molecular Diagnostics Pathology Department Mater Dei Hospital Malta	Molecular Diagnostics Pathology Department Mater Dei Hospital Malta	G Zahra et al
hCoV-19/Malta/MDxMDH478/2021	EPI_ISL_2716322		Molecular Diagnostics Pathology Department Mater Dei Hospital MAlta	Molecular Diagnostics Pathology Department Mater Dei Hospital MAlta	G Zahra et al
hCoV-19/Canada/NS-NML-94507/2021	EPI_ISL_2835571		NS-QEII Health Sciences Centre	National Microbiology Laboratory (NML)	Anna Majer et al
hCoV-19/Canada/NS-NML-94541/2021	EPI_ISL_2835597		NS-QEII Health Sciences Centre	National Microbiology Laboratory (NML)	Anna Majer et al
hCoV-19/Canada/NS-NML-117357/2021	EPI_ISL_3399707		NS-QEII Health Sciences Centre	National Microbiology Laboratory (NML)	Anna Majer et al
hCoV-19/Slovenia/22-6223/2021	EPI_ISL_2032150		Department of Public Health Microbiology Ljubljana, National Laboratory for Health, Environment and Food	Department of Public Health Microbiology Ljubljana, National Laboratory for Health, Environment and Food	Tom Koritnik et al
hCoV-19/Slovenia/286317/2021	EPI_ISL_2966939		Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Alen Suljič et al
hCoV-19/Barbados/71158/2021	EPI_ISL_2678168		The Caribbean Public Health Agency	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al
hCoV-19/Oman/52110370/2021	EPI_ISL_2921201		Oman-NIC	Oman-National Influenza Center	Samiha Al Kharusi et al
hCoV-19/SriLanka/CDR96/2021	EPI_ISL_1970409		Centre for Dengue Research and AICBU, Department of Immunology and Molecular Medicine	Centre for Dengue Research and AICBU, Department of Immunology and Molecular Medicine	Chandima Jeewandara et al
hCoV-19/Bonaire/BQ-RIVM-35128/2021	EPI_ISL_2405584		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Croatia/6248/2021	EPI_ISL_2693501		Nastavni zavod za javno zdravstvo Primorsko- Goranske Županije	Hrvatski zavod za javno zdravstvo	Irena Tabain et al
hCoV-19/Romania/MS-16641/2021	EPI_ISL_2932511		Emergency County Hospital Targu Mures	National Institute of Infectious Diseases-Prof. Dr. Matei Bals Molecular Diagnostics Laboratory	Corina Casangiu et al
hCoV-19/Italy/CAM-TIGEM-IZSM-COLLI-14566/2021	EPI_ISL_2357000		Istituto Zooprofilattico Sperimentale del Mezzogiorno	TIGEM	Antonio Grimaldi Patrizia Annunziata Francesco Panariello Biancamaria Pierri Claudia Tiberio Teresa Giuliano Valentina Bouche Chiara Colantuono Maria Concetta Cuomo Denise Di Concilio Lucio Di Filippo Anna Manfredi Marcello Salvi Antonio Limone Luigi Atripaldi Pellegrino Cerino Andrea Ballabio Davide Cacchiarelli et al
hCoV-19/Canada/BC-BCCDC-144893/2021	EPI_ISL_3601298		British Columbia Centre For Disease Control	BCCDC Public Health Laboratory	Prystajecky Natalie et al
hCoV-19/Oman/52111726/2021	EPI_ISL_2921182		Oman-NIC	Oman-National Influenza Center	Laila Al Balushi et al
hCoV-19/USA/NE-TESTNE_A2AA1MK/2021	EPI_ISL_2689675		Nebraska Public Health Laboratory	NPHL COVID-19 Response Team	NPHL COVID-19 Response Team et al
hCoV-19/USA/NC-CDC-ASC210037218/2021	EPI_ISL_2145880	MZ280102.1	Aegis Sciences Corporation	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/USA/NM-UNM-TC241611/2021	EPI_ISL_3152431		TriCore Reference Laboratories	Center for Global Health, University of New Mexico Health Sciences Center	Daryl Domman et al
hCoV-19/Mexico/OAX-InDRE_FB17118_S3085/2021	EPI_ISL_2663352		LESP Oaxaca	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/USA/GA-CDC-STM-000058006/2021	EPI_ISL_1924168	MZ133172.1	Helix/Illumina	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/USA/SC-CDC-QDX25952363/2021	EPI_ISL_2870036	MZ522629.1	Quest Diagnostics Incorporated	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/USA/DC-DFS-PHL-0863/2021	EPI_ISL_3010110	MZ714311.1	DC Public Health Lab/ Dept. of Forensic Sciences	DC Public Health Lab/ Dept. of Forensic Sciences	Janis Doss et al
hCoV-19/USA/FL-CDC-LC0069899/2021	EPI_ISL_2611186	MZ411832.1	Laboratory Corporation of America	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/Australia/NT209/2021	EPI_ISL_2250215		Royal Darwin Hospital Pathology	Microbiological Diagnostic Unit Public Health Laboratory (MDU-PHL)	Meumann et al
hCoV-19/Australia/NT10001/2021	EPI_ISL_2322898		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA Microbial Surveillance Unit	PathWest Laboratory Medicine WA Microbial Surveillance Unit et al
hCoV-19/Austria/KILM607/2021	EPI_ISL_2757888		Lifebrain Covid Labor GmbH	Dept. of Laboratory Medicine	Harald Esterbauer et al
hCoV-19/Spain/NC-CHN-01002814/2021	EPI_ISL_2133027		Servicio de Microbiología Clínica (Complejo Hospitalario de Navarra, Pamplona)	Centro de Secuenciación NASERTIC	Carmen Ezpeleta Baquedano et al
hCoV-19/BosniaandHerzegovina/AGCI574/2021	EPI_ISL_2708955		Alea Genetic Centre	Alea Genetic Centre	Dino Pecar et al
hCoV-19/SouthKorea/KDCA5618/2021	EPI_ISL_2967336		Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Jeong-Ah Kim et al
hCoV-19/Croatia/5864/2021	EPI_ISL_3046384		Klinički bolnički centar Zagreb	Hrvatski zavod za javno zdravstvo	Irena Tabain et al
hCoV-19/Kosovo/ChVir25780_27/2021	EPI_ISL_2833648		Department of Microbiology, National Institute for Public Health of Kosova	Charité Universitätsmedizin Berlin, Institut für Virologie	Victor M Corman et al B
hCoV-19/Australia/VIC18287/2021	EPI_ISL_1249986		Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	MDU-PHL	Seemann T. et al
hCoV-19/Austria/CeMM9078/2021	EPI_ISL_2324318		Austrian Agency for Health and Food Safety (AGES)	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Lukas Endler et al
hCoV-19/BosniaandHerzegovina/KCUS28628/2021	EPI_ISL_1240075		Clinical Center, University of Sarajevo; Unit for Clinical Microbiology	Clinical Center, University of Sarajevo; Unit for Clinical Microbiology	Irma Salimović-Bešić et al
